City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,3.52,72,27,5.41,GS,1706828198
1,hermanus,-34.4187,19.2345,23.22,91,10,4.14,ZA,1706828144
2,sayat,38.7839,63.8803,-1.07,58,3,3.83,TM,1706828198
3,usogorsk,63.4106,48.6872,-4.63,95,100,5.56,RU,1706828198
4,udachny,66.4167,112.4,-30.39,97,98,1.71,RU,1706828198
5,remire-montjoly,4.9167,-52.2667,25.02,88,0,0.0,GF,1706828198
6,coahuayana de hidalgo,18.7,-103.6583,28.98,59,14,2.44,MX,1706828198
7,aasiaat,68.7098,-52.8699,-26.88,100,100,1.77,GL,1706828198
8,arroyo,41.6096,-4.7969,9.56,73,0,2.57,ES,1706828198
9,kununurra,-15.7667,128.7333,27.99,100,100,1.54,AU,1706828198
10,adamstown,-25.066,-130.1015,24.83,88,42,9.03,PN,1706828199
11,kavaratti,10.5669,72.642,27.32,67,100,4.91,IN,1706828199
12,yellowknife,62.456,-114.3525,-12.06,90,75,7.2,CA,1706828199
13,saint-philippe,-21.3585,55.7679,24.77,85,97,7.85,RE,1706828199
14,lamarque,-39.423,-65.7021,36.55,17,69,0.75,AR,1706828199
15,kavieng,-2.5744,150.7967,28.37,77,100,2.77,PG,1706828199
16,west island,-12.1568,96.8225,25.99,94,100,2.57,CC,1706828199
17,port mathurin,-19.6833,63.4167,27.46,83,15,12.59,MU,1706828199
18,sitka,57.0531,-135.33,1.94,64,100,7.2,US,1706828200
19,port-aux-francais,-49.35,70.2167,6.93,86,35,6.37,TF,1706828200
20,bethel,41.3712,-73.414,6.2,73,100,3.09,US,1706828024
21,iskateley,67.6803,53.1512,-2.77,93,100,7.6,RU,1706828018
22,weatherford,32.7593,-97.7972,22.98,54,45,1.34,US,1706828004
23,antsiranana,-12.2787,49.2917,24.68,88,45,1.66,MG,1706828200
24,melekeok village,7.4957,134.6367,26.31,89,75,1.54,PW,1706828200
25,bredasdorp,-34.5322,20.0403,21.29,91,48,3.94,ZA,1706828065
26,kapuskasing,49.4169,-82.4331,-10.95,85,75,4.63,CA,1706828201
27,weno,7.4515,151.8468,27.51,80,39,10.57,FM,1706828201
28,lucapa,-8.4192,20.7447,19.12,93,100,0.82,AO,1706828201
29,kenai,60.5544,-151.2583,-19.95,92,100,2.06,US,1706828201
30,guerrero negro,27.9769,-114.0611,20.68,54,0,8.08,MX,1706828201
31,waitangi,-43.9535,-176.5597,18.23,92,99,2.68,NZ,1706828201
32,qaqortoq,60.7167,-46.0333,-14.94,70,69,8.8,GL,1706828201
