City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ghadamis,30.1337,9.5007,12.34,52,0,3.85,LY,1707080661
1,west island,-12.1568,96.8225,27.99,78,100,4.12,CC,1707080661
2,kayangel,8.0823,134.7173,27.66,79,86,8.22,PW,1707080661
3,adamstown,-25.066,-130.1015,24.99,79,98,4.5,PN,1707080662
4,port-aux-francais,-49.35,70.2167,5.14,72,10,8.73,TF,1707080472
5,susuman,62.7833,148.1667,-28.9,99,100,1.34,RU,1707080663
6,bredasdorp,-34.5322,20.0403,22.24,84,46,1.88,ZA,1707080663
7,port alfred,-33.5906,26.891,23.34,84,98,3.78,ZA,1707080663
8,vytegra,61.0064,36.4481,-9.8,97,100,1.79,RU,1707080663
9,albany,42.6001,-73.9662,4.89,52,1,0.89,US,1707080663
10,iqaluit,63.7506,-68.5145,-20.15,77,100,3.6,CA,1707080494
11,vilyuchinsk,52.9306,158.4028,-12.82,78,98,4.01,RU,1707080505
12,tofol,5.3248,163.0078,27.81,81,97,11.39,FM,1707080664
13,georgetown,5.4112,100.3354,26.96,83,20,1.54,MY,1707080570
14,hawaiian paradise park,19.5933,-154.9731,23.35,83,100,3.6,US,1707080664
15,settat,33.0007,-7.6204,13.9,65,100,2.08,MA,1707080664
16,vorgashor,67.5833,63.95,-16.45,92,100,0.43,RU,1707080664
17,praia da vitoria,38.7333,-27.0667,17.64,94,75,5.66,PT,1707080566
18,kota belud,6.351,116.4305,23.95,85,99,2.01,MY,1707080453
19,kavaratti,10.5669,72.642,27.64,72,33,4.81,IN,1707080664
20,pervomayskoye,43.919,46.7102,4.0,69,84,2.35,RU,1707080664
21,thompson,55.7435,-97.8558,-3.91,93,100,4.12,CA,1707080664
22,prado,-17.3411,-39.2208,26.03,80,11,2.72,BR,1707080665
23,mabaruma,8.2,-59.7833,29.25,63,95,2.93,GY,1707080665
24,gorey,52.6747,-6.2925,10.87,88,63,6.55,IE,1707080665
25,luganville,-15.5333,167.1667,28.41,78,55,1.48,VU,1707080495
26,tindouf,27.6711,-8.1474,13.71,35,40,5.13,DZ,1707080665
27,ola,59.5833,151.2833,-23.2,85,22,4.53,RU,1707080665
28,gambiran satu,-8.3939,114.1464,22.82,97,100,1.33,ID,1707080665
29,porto novo,6.4965,2.6036,25.82,79,49,3.1,BJ,1707080665
30,waitangi,-43.9535,-176.5597,18.23,82,35,1.79,NZ,1707080666
31,grytviken,-54.2811,-36.5092,3.22,70,14,5.63,GS,1707080666
32,geraldton,-28.7667,114.6,15.23,82,16,5.66,AU,1707080666
33,nuuk,64.1835,-51.7216,-10.66,62,100,6.17,GL,1707080666
34,invercargill,-46.4,168.35,15.01,97,79,2.68,NZ,1707080616
35,olonkinbyen,70.9221,-8.7187,-5.7,76,100,11.11,SJ,1707080666
36,suhum,6.0409,-0.45,25.46,65,33,1.06,GH,1707080667
37,valparaiso,-33.0393,-71.6273,22.22,69,40,6.69,CL,1707080410
38,solikamsk,59.6196,56.7729,-18.68,90,99,2.96,RU,1707080667
39,iskateley,67.6803,53.1512,-19.43,91,90,3.13,RU,1707080667
40,east london,-33.0153,27.9116,24.52,79,100,5.9,ZA,1707080667
41,ilulissat,69.2167,-51.1,-21.99,54,7,1.54,GL,1707080498
42,luderitz,-26.6481,15.1594,19.12,85,5,3.85,NA,1707080667
43,papao,-17.75,-149.55,30.82,82,99,6.66,PF,1707080668
44,longyearbyen,78.2186,15.6401,-1.09,80,75,12.86,SJ,1707080668
45,waddan,29.1614,16.139,11.19,56,6,2.36,LY,1707080484
46,baiyin,36.5583,104.2081,-7.28,82,11,1.18,CN,1707080668
47,souillac,-20.5167,57.5167,24.21,69,20,1.54,MU,1707080464
48,bonthe,7.5264,-12.505,26.63,79,95,4.13,SL,1707080668
49,lebu,-37.6167,-73.65,17.74,70,0,5.21,CL,1707080468
50,ambodifotatra,-16.9833,49.85,26.41,81,100,3.91,MG,1707080668
51,badger,64.8,-147.5333,-19.05,71,100,0.0,US,1707080668
52,namtsy,62.7161,129.6658,-42.69,100,62,0.74,RU,1707080668
53,tura,25.5198,90.2201,13.14,43,34,1.56,IN,1707080668
54,wailua homesteads,22.0669,-159.378,22.08,74,99,2.68,US,1707080506
55,sihanoukville,10.6093,103.5296,25.97,89,40,1.03,KH,1707080669
56,puerto natales,-51.7236,-72.4875,25.25,31,75,11.83,CL,1707080669
57,es castell,39.8795,4.2854,11.38,100,0,2.06,ES,1707080669
58,avarua,-21.2078,-159.775,30.03,70,20,2.57,CK,1707080532
59,barra de santo antonio,-9.4047,-35.5072,28.6,78,17,3.51,BR,1707080669
60,ushuaia,-54.8,-68.3,15.81,63,40,2.57,AR,1707080502
61,hermanus,-34.4187,19.2345,21.0,88,4,0.69,ZA,1707080460
62,margaret river,-33.95,115.0667,13.05,78,59,2.93,AU,1707080669
63,anadyr,64.75,177.4833,-14.72,61,100,6.0,RU,1707080407
64,cacheu,12.2706,-16.1658,28.05,54,0,2.55,GW,1707080669
65,bafra,41.5678,35.9069,10.4,71,100,0.74,TR,1707080669
66,puerto ayora,-0.7393,-90.3518,27.98,88,69,3.58,EC,1707080669
67,hamilton,39.1834,-84.5333,13.76,46,0,6.17,US,1707080228
